phenotype,PBW_kg,VT_ml_per_kg,VT_ml,RR_min,Ti_s,waveform,pause_fraction,PEEP_cmH2O,C_total_L_per_cmH2O,R_equivalent_cmH2O_s_per_L,global_energy_J,MP_J_min,EII,DCES,Ppeak_cmH2O,Pplat_cmH2O,driving_pressure_cmH2O,minute_ventilation_L_min,end_inspiratory_volume_L,REF_1,comp_energy_J_1,REF_2,comp_energy_J_2,REF_3,comp_energy_J_3,REF_4,comp_energy_J_4,REF_5,comp_energy_J_5,REF_6,comp_energy_J_6,analysis_name,MV_min_L_min,MV_max_L_min,MP_J_min_norm,EII_norm,DCES_norm,balanced_score,pareto_optimal,strategy
compliance_dominant,70,4,280.0,25,1.5,square,0.0,5.0,0.039999999999999994,8.000000000000002,0.1408759281980802,3.521898204952005,0.30557396873805165,0.23744149199506337,13.656594141707028,13.656594141707028,8.656594141707028,7.000000000000001,0.2800000000000001,0.08872291975571472,0.012498923673030099,0.12255154508542612,0.01726456266601828,0.15461385592996027,0.0217813704664174,0.18453149355845924,0.025996045436826005,0.2121386936753763,0.029885235378246843,0.23744149199506337,0.033449790577541584,primary_MV_target_7.0_L_min,6.5,7.5,0.0,0.7330859419483257,0.6991172203818251,1.4322031623301508,True,minimum_MP
compliance_dominant,70,4,280.0,25,0.6,sinusoidal,0.2,5.0,0.039999999999999994,8.000000000000002,0.2634116212149697,6.585290530374242,0.21824795286634244,0.21408140922621588,17.099569489071452,12.261068620199342,7.261068620199342,7.000000000000001,0.2800000000000001,0.10731659429584425,0.02888372677838547,0.1373989428586608,0.036980241044811436,0.16069868712880112,0.043251251152062346,0.18121514008687217,0.04877315226708376,0.19928922640360586,0.053637702566754486,0.21408140922621588,0.057618944889133515,primary_MV_target_7.0_L_min,6.5,7.5,0.3570981180415488,0.0,0.0,0.3570981180415488,True,minimum_EII
compliance_dominant,70,4,280.0,25,0.6,sinusoidal,0.2,5.0,0.039999999999999994,8.000000000000002,0.2634116212149697,6.585290530374242,0.21824795286634244,0.21408140922621588,17.099569489071452,12.261068620199342,7.261068620199342,7.000000000000001,0.2800000000000001,0.10731659429584425,0.02888372677838547,0.1373989428586608,0.036980241044811436,0.16069868712880112,0.043251251152062346,0.18121514008687217,0.04877315226708376,0.19928922640360586,0.053637702566754486,0.21408140922621588,0.057618944889133515,primary_MV_target_7.0_L_min,6.5,7.5,0.3570981180415488,0.0,0.0,0.3570981180415488,True,minimum_DCES
compliance_dominant,70,4,280.0,25,0.6,square,0.0,5.0,0.039999999999999994,8.000000000000002,0.20545114170559411,5.136278542639853,0.22929453213988787,0.2151096860890283,16.092538735032853,16.092538735032853,11.092538735032853,7.000000000000001,0.28000000000000014,0.10337424598604485,0.021238356860787858,0.1357038785667673,0.02788051678541966,0.16194039032964713,0.03327083808147558,0.18322077168494794,0.03764291672685257,0.2006510273435644,0.04122398265213572,0.2151096860890283,0.04419453059892285,primary_MV_target_7.0_L_min,6.5,7.5,0.1881875121274748,0.09273401392719928,0.03077412307250292,0.311695649127177,True,balanced
mixed,70,4,280.0,25,1.5,square,0.0,5.0,0.042499999999999996,8.05151369533878,0.13278128829020883,3.3195322072552207,0.3757116214576804,0.26412915022477784,13.13631809701933,13.13631809701933,8.13631809701933,7.000000000000001,0.28000000000000014,0.07962573675073155,0.010572807906819161,0.11199237704069992,0.01487049210214694,0.1446932058917164,0.019212550285142536,0.1799503373183147,0.023894037617383467,0.2196091927737597,0.029159991536872633,0.26412915022477784,0.0350714088418441,primary_MV_target_7.0_L_min,6.5,7.5,0.0,0.22152346550182136,0.24663322996423181,0.4681566954660532,True,minimum_MP
mixed,70,5,350.0,20,1.5,sinusoidal,0.0,5.0,0.042499999999999996,8.05151369533878,0.2230195177756891,4.460390355513782,0.36391291342681786,0.2562279539478139,14.265253950115774,13.284918550946525,8.284918550946525,7.0,0.35000000000000014,0.07904112897695743,0.01765657705011546,0.11350589776529216,0.02535547828674948,0.14752528482371155,0.03295488806959548,0.18308197795114695,0.04089770847180528,0.22061775653507806,0.04928262623906622,0.2562279539478139,0.05723739867875506,primary_MV_target_7.0_L_min,6.5,7.5,0.13796193620341232,0.0,0.0,0.13796193620341232,True,minimum_EII
mixed,70,5,350.0,20,1.5,sinusoidal,0.0,5.0,0.042499999999999996,8.05151369533878,0.2230195177756891,4.460390355513782,0.36391291342681786,0.2562279539478139,14.265253950115774,13.284918550946525,8.284918550946525,7.0,0.35000000000000014,0.07904112897695743,0.01765657705011546,0.11350589776529216,0.02535547828674948,0.14752528482371155,0.03295488806959548,0.18308197795114695,0.04089770847180528,0.22061775653507806,0.04928262623906622,0.2562279539478139,0.05723739867875506,primary_MV_target_7.0_L_min,6.5,7.5,0.13796193620341232,0.0,0.0,0.13796193620341232,True,minimum_DCES
mixed,70,4,280.0,25,1.5,sinusoidal,0.0,5.0,0.042499999999999996,8.05151369533878,0.1427324913764412,3.56831228441103,0.3639129134268181,0.25622795394781395,12.412203160092618,11.627934840757217,6.6279348407572165,7.000000000000001,0.27999999999999997,0.07904112897695749,0.011300209312073898,0.11350589776529207,0.016227506103519647,0.14752528482371158,0.021091128364541103,0.18308197795114675,0.026174533421955342,0.22061775653507815,0.03154088079300238,0.25622795394781395,0.03663193515440323,primary_MV_target_7.0_L_min,6.5,7.5,0.030084529952860584,4.168938688059044e-15,1.7327622359052208e-15,0.030084529952866486,True,balanced
resistance_dominant,70,4,280.0,25,1.5,square,0.0,5.0,0.04,8.05151369533878,0.14501066560373926,3.6252666400934817,0.06650131862836488,0.18081496287606028,13.849325969715823,13.849325969715823,8.849325969715823,7.000000000000001,0.27999999999999986,0.18081496287606028,0.026220098117772882,0.17714640852538002,0.025688118609577242,0.17145548355094103,0.024862873791132903,0.1644560008044828,0.023847874139187108,0.15688217450900932,0.022749588546913398,0.1492449697341265,0.02164211239915558,primary_MV_target_7.0_L_min,6.5,7.5,0.0,0.24795432183153787,0.19019205045445797,0.43814637228599584,True,minimum_MP
resistance_dominant,70,5,350.0,20,1.5,decelerating,0.2,5.0,0.04,8.05151369533878,0.2521031450758342,5.042062901516684,0.02330453151250471,0.17137434966158707,15.319413256255904,13.909113774180287,8.909113774180287,7.0,0.3500000000000001,0.1692140769952132,0.04391330651450494,0.17137434966158707,0.04447392604118927,0.16841658600234985,0.04370634698114911,0.16734784989577067,0.043428995728435914,0.16421395180980264,0.04261570743896206,0.15943318563527656,0.04137503494809075,primary_MV_target_7.0_L_min,6.5,7.5,0.1594236516701433,0.0,0.0016048028428282965,0.1610284545129716,True,minimum_EII
resistance_dominant,70,5,350.0,20,1.5,decelerating,0.1,5.0,0.04,8.05151369533878,0.24128353004131997,4.825670600826399,0.025396831530601318,0.1712940137793018,15.140553518005994,13.969271673951315,8.969271673951315,7.0,0.3500000000000001,0.1682364504307209,0.04125945964271763,0.1712940137793018,0.04200931742480258,0.16976484163435923,0.041634292772062376,0.16808583201743843,0.0412225209512012,0.16401226427516877,0.040223491291256824,0.15860659786301087,0.03889776862768775,primary_MV_target_7.0_L_min,6.5,7.5,0.13507431386578259,0.012010032844891329,0.0,0.1470843467106739,True,minimum_DCES
resistance_dominant,70,4,280.0,25,1.5,decelerating,0.1,5.0,0.04,8.05151369533878,0.15442145922644498,3.8605364806611244,0.025396831530600412,0.17129401377930192,13.112442814404796,12.175417339161053,7.1754173391610525,7.000000000000001,0.28,0.16823645043072072,0.026406054171339243,0.17129401377930192,0.026885963151873662,0.16976484163435918,0.0266459473741199,0.16808583201743812,0.02638241340876871,0.1640122642751687,0.02574303442640435,0.15860659786301132,0.024894571921720222,primary_MV_target_7.0_L_min,6.5,7.5,0.02647351502287906,0.01201003284488613,2.217799836647583e-15,0.038483547867767406,True,balanced
severe_mixed,70,4,280.0,25,1.5,square,0.0,5.0,0.050499999999999996,7.024390243902439,0.1129873462619261,2.8246836565481526,0.5694282107262818,0.32385470873442196,11.893344163357236,11.893344163357236,6.893344163357236,7.000000000000001,0.28,0.05087446528369754,0.0057481708248994755,0.08147688192059514,0.009205856669904354,0.12069377691415052,0.013636869563858796,0.17601382170963245,0.01988733462039118,0.24708634543750224,0.027917630468540965,0.32385470873442196,0.03659148411433138,primary_MV_target_7.0_L_min,6.5,7.5,0.0,0.23010330418937935,0.23656101358004172,0.4666643177694211,True,minimum_MP
severe_mixed,70,4,280.0,25,1.5,sinusoidal,0.1,5.0,0.050499999999999996,7.024390243902439,0.12665775087599235,3.1664437718998086,0.5573132734987504,0.31670504244399456,11.427574078525332,10.57064130108273,5.5706413010827305,7.000000000000001,0.2800000000000001,0.04995503982284922,0.006382102533042787,0.08229256524202981,0.010513445509086016,0.12383969503624187,0.01582137926793403,0.17988516499107413,0.022981576457902105,0.24732249246381033,0.03159716239300782,0.31670504244399456,0.040461263984114225,primary_MV_target_7.0_L_min,6.5,7.5,0.04781776292220137,0.0,0.007313872749262056,0.055131635671463425,True,minimum_EII
severe_mixed,70,5,350.0,20,1.5,sinusoidal,0.0,5.0,0.050499999999999996,7.024390243902439,0.19006867388733195,3.801373477746639,0.5579922753303775,0.3164769403649092,12.85056890158241,11.974169811142485,6.974169811142485,7.0,0.3500000000000001,0.0499929389378362,0.009515615479073435,0.08241604484678089,0.01568700317945305,0.12327488267778257,0.023464041256871966,0.17935087223218313,0.03413749966010201,0.24848832094050805,0.04729706561261844,0.3164769403649092,0.06023796433033776,primary_MV_target_7.0_L_min,6.5,7.5,0.13665468912468332,0.012896522868727075,0.0,0.1495512119934104,True,minimum_DCES
severe_mixed,70,4,280.0,25,1.5,sinusoidal,0.0,5.0,0.050499999999999996,7.024390243902439,0.12164395128789254,3.0410987821973134,0.557992275330378,0.3164769403649097,11.280455121265927,10.579335848913985,5.579335848913985,7.000000000000001,0.2799999999999999,0.04999293893783623,0.0060899939066070075,0.0824160448467809,0.010039682034849961,0.12327488267778254,0.015016986404398065,0.17935087223218282,0.021847999782465266,0.24848832094050777,0.03027012199207579,0.3164769403649097,0.038552297171416255,primary_MV_target_7.0_L_min,6.5,7.5,0.030279973309412827,0.01289652286873551,1.601920281080296e-14,0.04317649617816436,True,balanced
